"DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST","DEP_TIME","DEP_DEL15","DEP_TIME_BLK","ARR_TIME","ARR_DEL15","CANCELLED","DIVERTED","DISTANCE",
1,2,"9E",20363,"9E","N8688C","3280",11953,1195302,"GNV",10397,1039707,"ATL","0601",0.00,"0600-0659","0722",0.00,0.00,0.00,300.00,
1,2,"9E",20363,"9E","N348PQ","3281",13487,1348702,"MSP",11193,1119302,"CVG","1359",0.00,"1400-1459","1633",0.00,0.00,0.00,596.00,
1,2,"9E",20363,"9E","N8896A","3282",11433,1143302,"DTW",11193,1119302,"CVG","1215",0.00,"1200-1259","1329",0.00,0.00,0.00,229.00,
1,2,"9E",20363,"9E","N8886A","3283",15249,1524906,"TLH",10397,1039707,"ATL","1521",0.00,"1500-1559","1625",0.00,0.00,0.00,223.00,
1,2,"9E",20363,"9E","N8974C","3284",10397,1039707,"ATL",11778,1177801,"FSM","1847",0.00,"1900-1959","1940",0.00,0.00,0.00,579.00,
1,2,"9E",20363,"9E","N927EV","3285",11267,1126702,"DAY",13487,1348702,"MSP","0853",0.00,"0900-0959","0953",0.00,0.00,0.00,574.00,
1,2,"9E",20363,"9E","N915XJ","3286",12448,1244807,"JAN",10397,1039707,"ATL","1553",0.00,"1500-1559","1832",0.00,0.00,0.00,341.00,
1,2,"9E",20363,"9E","N295PQ","3287",12953,1295304,"LGA",11193,1119302,"CVG","1551",0.00,"1500-1559","1824",0.00,0.00,0.00,585.00,
1,2,"9E",20363,"9E","N337PQ","3288",12451,1245102,"JAX",12953,1295304,"LGA","1037",0.00,"1000-1059","1239",0.00,0.00,0.00,833.00,
1,2,"9E",20363,"9E","N311PQ","3289",10397,1039707,"ATL",10685,1068502,"BMI","1245",0.00,"1200-1259","1318",0.00,0.00,0.00,533.00,